,stationid,sampleid,samplingorganization,trawlnumber,invertspecies,abundancequalifier_1,abundance_1,anomaly_1,diversityindexexclude_1,comments_1,abundancequalifier_2,abundance_2,anomaly_2,diversityindexexclude_2,comments_2,abundancequalifier Check,abundance Check,anomaly Check,diversityindexexclude Check,comments Check
187,B18-10914,none,Orange County Sanitation District,1,Thesea sp B,none,2.0,none,no,,none,2.0,none,no,,True,True,True,True,True
188,B18-10914,none,Orange County Sanitation District,1,Ophiura luetkenii,none,624.0,none,no,count by aliquot method,none,624.0,none,no,,True,True,True,True,False
189,B18-10914,none,Orange County Sanitation District,1,Sicyonia ingentis,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
190,B18-10914,none,Orange County Sanitation District,1,Astropecten californicus,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
191,B18-10914,none,Orange County Sanitation District,1,Luidia foliolata,none,3.0,none,no,"SAMPLE,V-3",none,3.0,none,no,"SAMPLE,V-3",True,True,True,True,True
192,B18-10914,none,Orange County Sanitation District,1,Pleurobranchaea californica,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
193,B18-10914,none,Orange County Sanitation District,1,Lytechinus pictus,none,96.0,none,no,,none,96.0,none,no,,True,True,True,True,True
194,B18-10914,none,Orange County Sanitation District,1,Dendronotus venustus,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
195,B18-10914,none,Orange County Sanitation District,1,Telesto sp,none,6.0,none,no,"SAMPLE,V-1",none,6.0,none,no,"SAMPLE,V-1 colonial",True,True,True,True,False
196,B18-10262,none,Orange County Sanitation District,1,Telesto sp,none,10.0,none,no,,none,10.0,none,no,,True,True,True,True,True
